nChains,reversible,random,execFolder,round,lowest,average
8.0,true,1,exec_1,0,1.568199723139286E-25,NaN
8.0,true,1,exec_1,1,2.8109501178598482E-31,0.585567778590773
8.0,true,1,exec_1,2,0.16850249944258966,0.6090040253512408
8.0,true,1,exec_1,3,0.2138501708148265,0.6084232089663542
8.0,true,1,exec_1,4,0.12142909124948718,0.5284127126680244
8.0,true,1,exec_1,5,0.24999631713613474,0.47913002032386887
8.0,true,1,exec_1,6,0.3735111974171119,0.4840508168061038
8.0,true,1,exec_1,7,0.4263016206054201,0.5036035775066948
8.0,true,1,exec_1,8,0.4277359594290272,0.4733439561308809
8.0,true,2,exec_10,0,1.541602214499387E-128,0.5767821501209086
8.0,true,2,exec_10,1,1.9051001578897333E-15,0.6221413646507232
8.0,true,2,exec_10,2,0.0698843748834938,0.589804898124909
8.0,true,2,exec_10,3,0.26905876601694256,0.4885858665442826
8.0,true,2,exec_10,4,0.1341801158313409,0.48872649946344554
8.0,true,2,exec_10,5,0.3180655693039058,0.4802835623458053
8.0,true,2,exec_10,6,0.23256891029320026,0.45804097861766924
8.0,true,2,exec_10,7,0.4175940830642442,0.5051261242301753
8.0,true,2,exec_10,8,0.43271885570883295,0.4831709192768616
4.0,true,3,exec_11,0,3.1588810138248754E-13,NaN
4.0,true,3,exec_11,1,1.453085737145358E-36,0.10471437164123931
4.0,true,3,exec_11,2,5.563017283407633E-110,0.2435507708514179
4.0,true,3,exec_11,3,0.001733364469157861,0.26588456009126316
4.0,true,3,exec_11,4,4.653683826636753E-5,0.18210049227753133
4.0,true,3,exec_11,5,0.03584313422672794,0.11945723123338448
4.0,true,3,exec_11,6,0.06238841766944533,0.15519069970832494
4.0,true,3,exec_11,7,0.06972357183869513,0.1545932214644512
4.0,true,3,exec_11,8,0.04582750491173929,0.13319026291669273
8.0,false,2,exec_12,0,1.541602214499387E-128,0.5767821501209086
8.0,false,2,exec_12,1,0.34411239396276433,0.7792589428942852
8.0,false,2,exec_12,2,0.1387866367563868,0.5025933284483189
8.0,false,2,exec_12,3,0.08649309763175146,0.4605456748046313
8.0,false,2,exec_12,4,0.3635005380072185,0.47510387911209095
8.0,false,2,exec_12,5,0.29125540327752464,0.462036228882659
8.0,false,2,exec_12,6,0.3362242910525357,0.4800489643262245
8.0,false,2,exec_12,7,0.42168695031087594,0.48690245987154135
8.0,false,2,exec_12,8,0.42763247910251895,0.4710245887040421
16.0,false,2,exec_13,0,5.900836702438146E-21,0.7591842071899432
16.0,false,2,exec_13,1,0.04433984951572561,0.7857069685134496
16.0,false,2,exec_13,2,0.38347514214492695,0.7850391766893242
16.0,false,2,exec_13,3,0.4043801260399837,0.7264781619735737
16.0,false,2,exec_13,4,0.5806708499942084,0.7405964220122563
16.0,false,2,exec_13,5,0.5561492145928693,0.7401630108450475
16.0,false,2,exec_13,6,0.6583787527383554,0.7461162653923719
16.0,false,2,exec_13,7,0.6643666282897233,0.7363493136098214
16.0,false,2,exec_13,8,0.6783708861772477,0.745756570793445
4.0,false,3,exec_14,0,6.317762027649751E-13,0.32748310909033923
4.0,false,3,exec_14,1,4.986705065635967E-25,0.10804387807022983
4.0,false,3,exec_14,2,8.549698491416097E-14,0.260302565488595
4.0,false,3,exec_14,3,7.056754856966307E-5,0.2608788304325753
4.0,false,3,exec_14,4,8.31363215824319E-5,0.18442269749743084
4.0,false,3,exec_14,5,0.08170178630141088,0.15683863336809656
4.0,false,3,exec_14,6,0.04277833448144453,0.10370035456436184
4.0,false,3,exec_14,7,0.06953043735490284,0.17711432897669868
4.0,false,3,exec_14,8,0.05450262896791395,0.1250428302716736
8.0,true,4,exec_15,0,0.27184735175137803,NaN
8.0,true,4,exec_15,1,1.2470880115312364E-10,0.6308617555774771
8.0,true,4,exec_15,2,6.831859307824798E-6,0.5341712039443746
8.0,true,4,exec_15,3,0.2719517526314105,0.520504043783252
8.0,true,4,exec_15,4,0.2296443724716002,0.5024317684496198
8.0,true,4,exec_15,5,0.286606099842802,0.49623559559012065
8.0,true,4,exec_15,6,0.35484942924541224,0.49857230633599986
8.0,true,4,exec_15,7,0.3769206299795329,0.4960578644262225
8.0,true,4,exec_15,8,0.39639911630365776,0.4742962314270231
8.0,false,3,exec_16,0,0.3221178168760707,0.7660595076811445
8.0,false,3,exec_16,1,7.933348281826641E-31,0.7421267694959689
8.0,false,3,exec_16,2,2.668757944748006E-4,0.6525758467761417
8.0,false,3,exec_16,3,0.1266577200421321,0.6110828880922149
8.0,false,3,exec_16,4,0.34190003863045176,0.5149930505484314
8.0,false,3,exec_16,5,0.3034164601604026,0.4628968829327742
8.0,false,3,exec_16,6,0.347380403930698,0.5137630709319826
8.0,false,3,exec_16,7,0.3178519281912194,0.465939548521473
8.0,false,3,exec_16,8,0.3654744676346457,0.47585938000433525
16.0,false,3,exec_17,0,9.713390334505723E-68,0.8471472589869946
16.0,false,3,exec_17,1,0.01308688337981453,0.7562337151305824
16.0,false,3,exec_17,2,0.21366247349677903,0.7163416877283271
16.0,false,3,exec_17,3,0.4230578055232559,0.74481537542514
16.0,false,3,exec_17,4,0.5127242559538441,0.7197597478233588
16.0,false,3,exec_17,5,0.6073087175658516,0.7326742901448124
16.0,false,3,exec_17,6,0.6307139733792045,0.7365943174884297
16.0,false,3,exec_17,7,0.6706625233371295,0.7397970285945237
16.0,false,3,exec_17,8,0.6885964399930756,0.7403649293618985
16.0,true,3,exec_18,0,9.713390334505723E-68,0.8471472589869946
16.0,true,3,exec_18,1,0.061881142311776924,0.7531008551312559
16.0,true,3,exec_18,2,0.4737186297378658,0.7951192451109163
16.0,true,3,exec_18,3,0.554914184882241,0.7755705593667731
16.0,true,3,exec_18,4,0.4242699511763489,0.7446728746880057
16.0,true,3,exec_18,5,0.5280585383391142,0.7316701023957797
16.0,true,3,exec_18,6,0.6125035692542138,0.7320168899146539
16.0,true,3,exec_18,7,0.6619098744174724,0.7356771480054048
16.0,true,3,exec_18,8,0.6920943054608043,0.7391459898002446
8.0,true,3,exec_19,0,0.5049156322387882,NaN
8.0,true,3,exec_19,1,2.0788621755236824E-13,0.6806263205674591
8.0,true,3,exec_19,2,0.00856628629252363,0.5162853485298355
8.0,true,3,exec_19,3,0.10327499313070485,0.48292847842018266
8.0,true,3,exec_19,4,0.20148801074570075,0.5066091385474691
8.0,true,3,exec_19,5,0.341686185738097,0.4609419070393504
8.0,true,3,exec_19,6,0.4115743442205408,0.4765353549508788
8.0,true,3,exec_19,7,0.3589398099615235,0.4670811624442447
8.0,true,3,exec_19,8,0.3768928519647739,0.4629927884931989
4.0,false,1,exec_2,0,0.0,0.6666666666666667
4.0,false,1,exec_2,1,9.60593876041373E-8,0.4257786781905005
4.0,false,1,exec_2,2,1.031217256151385E-5,0.2611669146300304
4.0,false,1,exec_2,3,0.058964478179525916,0.11112634847217204
4.0,false,1,exec_2,4,0.04600383133072757,0.08682103274202527
4.0,false,1,exec_2,5,0.011779617307324831,0.1542685007247141
4.0,false,1,exec_2,6,0.09555325793582352,0.11891405323164171
4.0,false,1,exec_2,7,0.07174619204695315,0.11453451886524367
4.0,false,1,exec_2,8,0.10335932908268503,0.11396539933078989
8.0,false,4,exec_20,0,2.1125625460112582E-32,0.5438443456591178
8.0,false,4,exec_20,1,8.000213706181322E-10,0.5554443526837177
8.0,false,4,exec_20,2,0.010875802443516937,0.536617369715999
8.0,false,4,exec_20,3,0.121772900481725,0.4909504664643454
8.0,false,4,exec_20,4,0.2407087810412311,0.49056199943612444
8.0,false,4,exec_20,5,0.2807967733045114,0.46710870247851544
8.0,false,4,exec_20,6,0.38915875593068233,0.4891126606387576
8.0,false,4,exec_20,7,0.398430349205991,0.4640130752436402
8.0,false,4,exec_20,8,0.4298179081047441,0.4807970203670838
4.0,false,4,exec_21,0,9.345249893875077E-76,0.17772606887440867
4.0,false,4,exec_21,1,5.545565463209396E-10,0.4961269596515593
4.0,false,4,exec_21,2,0.08048919892244807,0.2691543851667703
4.0,false,4,exec_21,3,3.087347789590468E-8,0.22356980616468364
4.0,false,4,exec_21,4,4.137405747870756E-5,0.14562857184350442
4.0,false,4,exec_21,5,0.06756097126067265,0.1931966247313156
4.0,false,4,exec_21,6,0.044680365353560986,0.14092573240770306
4.0,false,4,exec_21,7,0.03473759963720095,0.11187502317372594
